,index,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,Tenure_month,FALSE,has_churned,has_phone,has_internet,has_internet_and_phone,partner_dependents,Start_day,Monthly_charges,Validation,Contract Type,Phone Type,Internet Type,Monthly Tenure,single_no_dependents,projected
0,2782,3957-LXOLK,Female,1,No,No,2,2,0,Electronic check,106.15,3152.5,Yes,29.7,True,True,True,True,True,4,2018-09-02,106.15,1,Month-to-Month,Two or More Lines,Fiber Optic,30.0,1,1
1,5516,7767-UXAGJ,Male,0,No,No,2,1,0,Electronic check,50.45,50.45,Yes,1.0,False,True,True,True,True,4,2021-01-02,50.45,1,Month-to-Month,Two or More Lines,DSL,1.0,1,1
2,2804,3988-RQIXO,Female,1,No,No,1,2,0,Electronic check,91.3,91.3,Yes,1.0,True,True,True,True,True,4,2021-01-02,91.3,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
3,2806,3992-YWPKO,Female,0,No,No,2,2,0,Credit card (automatic),109.9,669.45,Yes,6.1,True,True,True,True,True,4,2020-08-02,109.9,1,Month-to-Month,Two or More Lines,Fiber Optic,6.0,1,1
4,2809,3999-QGRJH,Male,1,No,No,1,2,0,Electronic check,69.7,560.85,Yes,8.0,False,True,True,True,True,4,2020-06-02,69.7,1,Month-to-Month,One Line,Fiber Optic,8.0,1,1
5,5510,7760-OYPDY,Female,0,No,No,1,2,0,Electronic check,80.65,144.15,Yes,1.8,True,True,True,True,True,4,2021-01-02,80.65,1,Month-to-Month,One Line,Fiber Optic,2.0,1,1
6,5509,7758-XKCBS,Male,0,No,No,0,1,0,Electronic check,29.7,438.25,Yes,14.8,False,True,False,True,False,4,2019-12-02,29.7,1,Month-to-Month,No Phone Service,DSL,15.0,1,1
7,2775,3948-XHGNA,Male,0,No,No,1,1,0,Bank transfer (automatic),49.55,1210.4,Yes,24.4,False,True,True,True,True,4,2019-02-02,49.55,1,Month-to-Month,One Line,DSL,24.0,1,1
8,2742,3900-AQPHZ,Female,0,No,No,1,0,0,Mailed check,19.9,19.9,Yes,1.0,True,True,True,False,False,4,2021-01-02,19.9,1,Month-to-Month,One Line,No Internet Service,1.0,1,1
9,2746,3908-BLSYF,Female,0,No,No,1,2,0,Electronic check,83.9,497.55,Yes,5.9,True,True,True,True,True,4,2020-09-02,83.9,1,Month-to-Month,One Line,Fiber Optic,6.0,1,1
10,2757,3926-CUQZX,Male,0,No,No,1,1,0,Bank transfer (automatic),45.1,45.1,Yes,1.0,False,True,True,True,True,4,2021-01-02,45.1,1,Month-to-Month,One Line,DSL,1.0,1,1
11,5530,7786-WBJYI,Female,0,No,No,2,2,0,Bank transfer (automatic),77.95,305.55,Yes,3.9,True,True,True,True,True,4,2020-11-02,77.95,1,Month-to-Month,Two or More Lines,Fiber Optic,4.0,1,1
12,5528,7783-YKGDV,Female,0,No,No,2,2,0,Bank transfer (automatic),99.7,1238.45,Yes,12.4,True,True,True,True,True,4,2020-02-02,99.7,1,Month-to-Month,Two or More Lines,Fiber Optic,12.0,1,1
13,2769,3943-KDREE,Female,0,No,No,2,2,0,Bank transfer (automatic),74.95,1834.95,Yes,24.5,True,True,True,True,True,4,2019-02-02,74.95,1,Month-to-Month,Two or More Lines,Fiber Optic,24.0,1,1
14,2772,3946-MHCZW,Male,0,No,No,1,1,0,Mailed check,50.9,50.9,Yes,1.0,False,True,True,True,True,4,2021-01-02,50.9,1,Month-to-Month,One Line,DSL,1.0,1,1
15,2866,4083-EUGRJ,Male,0,No,No,1,0,0,Mailed check,20.25,178.5,Yes,8.8,False,True,True,False,False,4,2020-06-02,20.25,1,Month-to-Month,One Line,No Internet Service,9.0,1,1
16,2874,4094-NSEDU,Female,1,No,No,2,2,0,Electronic check,94.25,1973.75,Yes,20.9,True,True,True,True,True,4,2019-06-02,94.25,1,Month-to-Month,Two or More Lines,Fiber Optic,21.0,1,1
17,5473,7703-ZEKEF,Male,0,No,No,2,2,0,Electronic check,81.0,1917.1,Yes,23.7,False,True,True,True,True,4,2019-03-02,81,1,Month-to-Month,Two or More Lines,Fiber Optic,24.0,1,1
18,2882,4110-PFEUZ,Female,0,No,No,1,2,0,Mailed check,69.55,69.55,Yes,1.0,True,True,True,True,True,4,2021-01-02,69.55,1,Month-to-Month,One Line,Fiber Optic,1.0,1,1
19,2884,4112-LUEIZ,Male,0,No,No,1,2,0,Electronic check,89.5,863.1,Yes,9.6,False,True,True,True,True,4,2020-05-02,89.5,1,Month-to-Month,One Line,Fiber Optic,10.0,1,1
